wl	n
3.8350	3.17E-03
3.8464	3.19E-03
3.8578	3.22E-03
3.8693	3.26E-03
3.8809	3.31E-03
3.8926	3.26E-03
3.9043	3.00E-03
3.9161	2.66E-03
3.9280	2.56E-03
3.9399	2.73E-03
3.9519	2.97E-03
3.9640	2.97E-03
3.9762	2.91E-03
3.9884	3.09E-03
4.0007	3.29E-03
4.0131	3.26E-03
4.0255	3.04E-03
4.0381	2.83E-03
4.0507	2.76E-03
4.0634	2.84E-03
4.0762	2.83E-03
4.0890	2.86E-03
4.1020	2.92E-03
4.1150	2.96E-03
4.1281	3.02E-03
4.1413	2.89E-03
4.1546	2.60E-03
4.1679	2.58E-03
4.1814	2.88E-03
4.1949	3.23E-03
4.2085	3.50E-03
4.2222	3.66E-03
4.2360	3.83E-03
4.2499	3.79E-03
4.2639	3.67E-03
4.2780	3.79E-03
4.2921	3.82E-03
4.3064	3.62E-03
4.3208	3.30E-03
4.3352	2.97E-03
4.3498	2.88E-03
4.3644	2.93E-03
4.3791	2.98E-03
4.3940	3.02E-03
4.4089	3.04E-03
4.4240	2.85E-03
4.4391	2.59E-03
4.4544	2.50E-03
4.4697	2.75E-03
4.4852	2.99E-03
4.5008	3.07E-03
4.5165	3.20E-03
4.5323	3.28E-03
4.5482	3.18E-03
4.5642	3.12E-03
4.5803	3.05E-03
4.5965	2.97E-03
4.6129	2.93E-03
4.6294	2.89E-03
4.6460	2.84E-03
4.6627	2.63E-03
4.6795	2.46E-03
4.6965	2.70E-03
4.7136	3.05E-03
4.7308	3.21E-03
4.7481	3.10E-03
4.7655	2.80E-03
4.7831	2.70E-03
4.8008	2.80E-03
4.8187	2.98E-03
4.8367	3.10E-03
4.8548	3.06E-03
4.8730	3.06E-03
4.8914	3.04E-03
4.9100	2.86E-03
4.9286	2.92E-03
4.9474	3.23E-03
4.9664	3.25E-03
4.9855	3.03E-03
5.0047	3.02E-03
5.0241	3.24E-03
5.0437	3.41E-03
5.0634	3.55E-03
5.0832	4.37E-03
5.1033	5.21E-03
5.1234	5.74E-03
5.1438	6.26E-03
5.1643	5.86E-03
5.1849	4.94E-03
5.2057	4.16E-03
5.2267	3.44E-03
5.2479	3.29E-03
5.2692	3.77E-03
5.2907	4.43E-03
5.3124	5.12E-03
5.3343	5.73E-03
5.3563	5.66E-03
5.3785	4.66E-03
5.4009	3.74E-03
5.4235	3.41E-03
5.4463	3.65E-03
5.4693	4.02E-03
5.4925	4.34E-03
5.5159	5.09E-03
5.5394	5.96E-03
5.5632	5.64E-03
5.5872	4.51E-03
5.6114	3.69E-03
5.6358	3.56E-03
5.6604	5.41E-03
5.6852	9.80E-03
5.7103	1.36E-02
5.7355	1.46E-02
5.7610	1.27E-02
5.7867	9.84E-03
5.8127	8.33E-03
5.8389	7.20E-03
5.8653	6.26E-03
5.8919	5.98E-03
5.9188	5.72E-03
5.9460	5.46E-03
5.9734	5.58E-03
6.0011	5.43E-03
6.0290	4.87E-03
6.0571	4.58E-03
6.0856	4.69E-03
6.1143	4.57E-03
6.1433	4.41E-03
6.1725	4.79E-03
6.2020	9.80E-03
6.2319	1.85E-02
6.2620	1.87E-02
6.2924	1.24E-02
6.3231	9.44E-03
6.3541	6.64E-03
6.3854	4.61E-03
6.4170	4.57E-03
6.4489	5.46E-03
6.4811	5.75E-03
6.5137	4.91E-03
6.5466	4.42E-03
6.5798	4.70E-03
6.6134	4.69E-03
6.6473	1.52E-02
6.6816	3.85E-02
6.7162	3.71E-02
6.7512	1.67E-02
6.7865	7.57E-03
6.8223	1.21E-02
6.8583	3.45E-02
6.8948	4.96E-02
6.9317	3.36E-02
6.9690	1.53E-02
7.0066	8.67E-03
7.0447	6.45E-03
7.0832	5.55E-03
7.1221	5.47E-03
7.1615	6.64E-03
7.2013	9.69E-03
7.2415	1.39E-02
7.2822	1.69E-02
7.3233	1.69E-02
7.3649	1.45E-02
7.4070	1.24E-02
7.4496	1.10E-02
7.4926	1.03E-02
7.5362	1.01E-02
7.5803	1.03E-02
7.6249	1.05E-02
7.6700	1.05E-02
7.7156	1.03E-02
7.7618	1.04E-02
7.8086	9.92E-03
7.8559	9.62E-03
7.9038	1.21E-02
7.9523	1.72E-02
8.0014	2.36E-02
8.0511	2.89E-02
8.1014	3.14E-02
8.1524	2.98E-02
8.2040	2.57E-02
8.2562	2.09E-02
8.3091	1.71E-02
8.3628	1.49E-02
8.4171	1.44E-02
8.4721	1.45E-02
8.5278	1.38E-02
8.5843	1.45E-02
8.6415	1.55E-02
8.6995	1.35E-02
8.7583	1.06E-02
8.8179	1.00E-02
8.8783	1.07E-02
8.9395	1.15E-02
9.0016	1.22E-02
9.0645	1.28E-02
9.1284	1.48E-02
9.1931	1.90E-02
9.2588	2.50E-02
9.3254	3.06E-02
9.3930	3.18E-02
9.4615	3.11E-02
9.5311	3.06E-02
9.6017	3.11E-02
9.6733	3.54E-02
9.7461	3.54E-02
9.8199	2.62E-02
9.8949	1.93E-02
9.9710	1.66E-02
10.048	1.41E-02
10.127	1.32E-02
10.207	1.37E-02
10.288	1.47E-02
10.370	1.44E-02
10.453	1.23E-02
10.538	1.15E-02
10.625	1.21E-02
10.713	1.19E-02
10.802	1.27E-02
10.893	1.62E-02
10.985	2.04E-02
11.079	1.96E-02
11.174	1.33E-02
11.272	8.86E-03
11.370	8.35E-03
11.471	8.18E-03
11.573	8.04E-03
11.678	9.07E-03
11.784	1.13E-02
11.892	1.16E-02
12.002	9.75E-03
12.114	8.56E-03
12.229	7.48E-03
12.345	6.54E-03
12.464	8.22E-03
12.585	1.04E-02
12.708	1.47E-02
12.834	2.89E-02
12.962	5.72E-02
13.093	8.91E-02
13.227	1.05E-01
13.363	9.07E-02
13.502	5.66E-02
13.645	2.82E-02
13.790	1.77E-02
13.938	2.17E-02
14.089	1.32E-01
14.244	3.22E-01
14.403	2.90E-01
14.564	9.05E-02
14.730	1.67E-02
14.899	1.73E-02
15.072	1.28E-02
15.250	1.18E-02
15.431	1.06E-02
15.617	1.13E-02
15.808	1.22E-02
16.003	1.42E-02
16.203	1.54E-02
16.408	1.67E-02
16.618	1.86E-02
16.834	1.89E-02
17.056	1.82E-02
17.283	2.27E-02
17.517	3.08E-02
17.757	3.77E-02
18.003	4.45E-02
18.257	5.70E-02
18.518	6.37E-02
18.786	4.86E-02
19.062	2.73E-02
19.347	1.87E-02
19.640	1.93E-02
19.942	1.65E-02
